Date,HMM,Samsung,S-Oil,NCsoft,Hyundai
2018-01-02,5010,51020,117000,446500,149500
2018-01-03,4790,51620,113500,435000,150500
2018-01-04,4625,51080,113500,422500,146500
2018-01-05,4635,52120,113000,422000,149000
2018-01-08,4520,52020,111500,420000,151000
2018-01-09,4425,50400,114000,423500,152500
2018-01-10,4585,48840,117500,436000,155500
2018-01-11,4510,48240,116000,427000,155000
2018-01-12,4660,48200,113500,413500,154000
2018-01-15,4665,48540,113000,415500,155000
2018-01-16,4620,50000,113000,426500,158000
2018-01-17,4620,49620,113500,427500,157500
2018-01-18,4620,49900,110500,432000,155000
2018-01-19,4620,49320,113000,426000,162000
2018-01-22,4620,48240,118000,430500,162500
2018-01-23,4620,49160,118500,438000,161000
2018-01-24,4620,49340,118000,435500,156500
2018-01-25,4620,50260,116500,425500,158500
2018-01-26,4620,50780,115500,449500,152500
2018-01-29,4620,51220,123500,449000,154500
2018-01-30,4620,49800,125500,442500,156000
2018-01-31,4620,49900,123000,442000,162000
2018-02-01,4620,49820,124000,442000,160500
2018-02-02,4800,47700,123000,438500,162500
2018-02-05,4510,47920,121500,420500,159000
2018-02-06,4350,47420,119500,417000,157500
2018-02-07,4235,45800,115500,409000,157500
2018-02-08,4200,46000,116000,407500,161000
2018-02-09,4040,44700,113500,383500,155000
2018-02-12,4080,45720,115000,392500,154000
2018-02-13,4155,47540,114500,401500,152500
2018-02-14,4300,49000,113000,400000,154500
2018-02-19,4470,48380,120000,405500,155000
2018-02-20,4365,47400,119500,392000,153500
2018-02-21,4390,47280,119500,394500,160000
2018-02-22,4280,46760,116000,398000,157000
2018-02-23,4365,47220,119000,397500,159000
2018-02-26,4370,47380,123500,388000,161000
2018-02-27,4300,47380,123000,392500,161000
2018-02-28,4365,47060,123500,375000,161500
2018-03-02,4215,46020,126000,374000,156000
2018-03-05,4235,45200,124500,380000,153000
2018-03-06,4355,47020,123000,387000,157000
2018-03-07,4390,48620,122500,387500,152500
2018-03-08,4275,49200,121000,388500,154500
2018-03-09,4380,49740,122000,392500,154000
2018-03-12,4380,49740,125000,405000,153500
2018-03-13,4440,51660,123500,406000,153500
2018-03-14,4355,51760,123000,394500,156000
2018-03-15,4305,51540,120500,400000,157500
2018-03-16,4335,51140,119500,409500,157500
2018-03-19,4285,50740,120000,412500,151500
2018-03-20,4390,51200,117000,419500,152500
2018-03-21,4380,51060,117500,420000,154500
2018-03-22,4425,51780,119500,422000,152500
2018-03-23,4270,49720,117000,409000,151500
2018-03-26,4310,50280,119000,417500,149500
2018-03-27,4435,49980,118000,418000,154000
2018-03-28,4320,48700,117000,416500,151500
2018-03-29,4365,49040,119500,410000,143500
2018-03-30,4375,49220,120000,420000,143500
2018-04-02,4420,48540,121000,427000,148500
2018-04-03,4450,48120,120000,418000,152000
2018-04-04,4485,46920,119000,422500,156500
2018-04-05,5150,48740,120000,414000,154000
2018-04-06,5180,48400,119000,404000,152500
2018-04-09,4875,49200,116000,403000,151000
2018-04-10,4690,48880,115000,398000,151000
2018-04-11,4780,48860,114500,390500,150000
2018-04-12,4790,49000,117500,394500,152000
2018-04-13,4740,49800,116000,387500,150500
2018-04-16,4600,50340,117500,376500,153000
2018-04-17,4575,49980,117000,383000,157500
2018-04-18,4815,51360,116500,384500,158500
2018-04-19,4955,52780,116000,378000,158000
2018-04-20,4895,51620,117000,369000,160000
2018-04-23,5190,51900,115500,360500,159500
2018-04-24,5040,50460,115000,360000,162500
2018-04-25,4900,50400,110000,354000,164000
2018-04-26,5280,52140,110500,360000,156500
2018-04-27,5260,53000,109500,359500,158000
2018-04-30,6070,53000,110000,360000,160000
2018-05-02,6100,53000,110000,355000,160000
2018-05-03,5800,53000,110500,355000,160000
2018-05-04,5910,51900,108000,346500,158000
2018-05-08,5570,52600,106000,342000,156000
2018-05-09,5670,50900,106000,358500,153500
2018-05-10,5730,51600,106000,347000,152000
2018-05-11,5780,51300,106000,332500,153000
2018-05-14,6180,50100,106000,335000,151000
2018-05-15,6440,49200,106000,353500,148500
2018-05-16,6010,49850,106000,360500,150500
2018-05-17,6050,49400,107500,361000,149500
2018-05-18,6000,49500,111500,353000,150000
2018-05-21,6000,50000,112000,354000,149000
2018-05-23,5980,51800,112500,352000,144500
2018-05-24,5870,51400,109500,359000,140000
2018-05-25,5390,52700,109000,364000,139000
2018-05-28,6600,52300,108500,352500,138500
2018-05-29,6140,51300,108500,352000,140000
2018-05-30,6070,49500,106000,351000,137500
2018-05-31,5910,50700,107500,353000,139000
2018-06-01,5670,51300,108000,363500,140000
2018-06-04,5730,51100,110000,363500,143000
2018-06-05,5810,51300,109500,356500,142500
2018-06-07,5740,50600,113000,353000,142500
2018-06-08,5660,49650,111500,365000,141000
2018-06-11,5780,49900,112000,361000,139500
2018-06-12,5620,49400,111500,367000,140500
2018-06-14,5330,48200,109500,359500,135000
2018-06-15,5470,47650,111500,360000,134000
2018-06-18,5450,46600,113000,357000,135000
2018-06-19,5160,47000,109500,360000,131500
2018-06-20,5390,47000,110000,352000,129500
2018-06-21,5160,47050,111000,363000,127000
2018-06-22,5250,47250,110000,372500,130000
2018-06-25,5280,46650,112000,372000,129000
2018-06-26,5130,47000,115000,368000,129500
2018-06-27,4930,47950,113000,378500,127500
2018-06-28,4830,46800,112500,360000,125000
2018-06-29,5030,46650,109500,371000,125500
2018-07-02,4750,45550,102500,366500,123500
2018-07-03,4790,46150,102000,360500,122000
2018-07-04,4780,46250,102500,365500,119500
2018-07-05,4670,45950,102500,371000,121500
2018-07-06,4730,44900,105500,369000,123500
2018-07-09,4505,45600,105500,377000,124500
2018-07-10,4580,46300,107500,386500,123500
2018-07-11,4610,46000,106000,387500,121500
2018-07-12,4570,45500,106000,392500,123000
2018-07-13,4625,46500,109500,395000,122500
2018-07-16,4625,46050,116000,392500,126000
2018-07-17,4695,45850,115500,388500,126500
2018-07-18,4545,46550,114500,387000,124000
2018-07-19,4485,46900,116500,372500,124000
2018-07-20,4460,47450,113500,372500,127000
2018-07-23,4285,46500,112000,381000,129500
2018-07-24,4445,46150,113000,384000,129500
2018-07-25,4410,46150,114500,384000,130500
2018-07-26,4590,46900,116500,387500,130000
2018-07-27,4580,46900,113000,386500,129500
2018-07-30,4805,46500,117000,387500,130500
2018-07-31,4785,46250,117500,385500,129500
2018-08-01,4840,46550,116500,384000,128500
2018-08-02,4850,45550,114000,370000,125500
2018-08-03,4850,45750,115500,370500,124000
2018-08-06,4775,45800,115500,370500,124500
2018-08-07,4820,46700,117500,364000,125000
2018-08-08,4905,46800,116500,359000,127500
2018-08-09,4805,46900,117500,358000,126000
2018-08-10,4850,45400,117000,361000,126000
2018-08-13,4660,45050,118000,356000,123500
2018-08-14,4790,45150,121500,385000,123000
2018-08-16,4820,44250,122500,370500,126500
2018-08-17,4910,44100,125000,371500,126500
2018-08-20,4905,43850,125500,367500,127500
2018-08-21,4845,44800,122000,375000,125500
2018-08-22,4950,46100,120000,371000,126000
2018-08-23,4930,46200,119000,385500,124500
2018-08-24,4890,46150,123000,391000,124500
2018-08-27,4665,46300,122000,390000,124000
2018-08-28,4655,46550,121000,393500,125000
2018-08-29,4650,46800,122000,395500,124000
2018-08-30,4625,47650,120500,398000,123500
2018-08-31,4550,48450,119500,387500,125000
2018-09-03,4525,47450,121000,385500,125000
2018-09-04,4575,47650,120500,406000,126500
2018-09-05,4650,46600,119000,394000,129000
2018-09-06,4625,46100,120500,399500,134000
2018-09-07,4695,44900,119000,414500,133000
2018-09-10,4720,45500,121500,423500,131000
2018-09-11,4695,45050,126000,425000,128000
2018-09-12,4650,44550,125500,423500,129500
2018-09-13,4795,44050,128500,435000,128500
2018-09-14,4775,45850,129000,432500,129500
2018-09-17,4690,45150,126500,430000,128500
2018-09-18,4615,45500,130000,432500,128000
2018-09-19,4935,46150,132500,441000,126500
2018-09-20,4935,47250,129000,444500,129000
2018-09-21,4990,47400,130500,449000,129000
2018-09-27,4905,47500,136000,438000,130500
2018-09-28,4920,46450,137000,442500,129500
2018-10-01,4810,46350,137500,455000,129000
2018-10-02,4735,45700,136000,423500,128500
2018-10-04,4785,44700,134500,433000,124500
2018-10-05,4880,44700,136500,417000,124500
2018-10-08,4790,44950,133000,420500,122000
2018-10-10,4650,45300,132500,420000,120000
2018-10-11,4400,43100,129000,404500,116000
2018-10-12,4465,44000,129500,418000,115500
2018-10-15,4565,43800,128000,411500,113500
2018-10-16,4535,43600,126500,421500,116500
2018-10-17,4510,44150,133500,416000,118500
2018-10-18,4465,44050,134000,416000,116000
2018-10-19,4505,43900,127500,422000,115500
2018-10-22,4405,43550,129000,426500,118000
2018-10-23,4270,43050,125000,425000,116500
2018-10-24,4195,42550,127000,421000,117000
2018-10-25,4070,41000,130500,425500,110000
2018-10-26,3860,41000,125000,409500,108000
2018-10-29,3640,41400,119500,404000,106000
2018-10-30,3695,42350,119500,420500,107500
2018-10-31,3780,42400,124000,429500,106500
2018-11-01,3810,42150,119000,431000,108500
2018-11-02,4075,44150,120500,443500,110000
2018-11-05,4170,43800,118500,452500,104000
2018-11-06,4140,43750,120000,449000,107500
2018-11-07,4055,44000,119000,450000,107500
2018-11-08,4110,44050,120000,438000,105500
2018-11-09,4090,44300,115000,440500,105000
2018-11-12,4015,45200,111500,447500,102000
2018-11-13,3975,44500,113000,447000,102500
2018-11-14,3950,44100,107000,458000,101500
2018-11-15,3990,44250,110500,473500,103000
2018-11-16,4000,44000,111000,466000,103000
2018-11-19,4185,43650,111500,467500,101500
2018-11-20,4120,42800,113000,476000,97500
2018-11-21,4130,42100,110500,475500,97800
2018-11-22,4040,42450,110000,479000,92800
2018-11-23,4000,42400,109000,474000,93700
2018-11-26,4055,42600,105500,493000,95100
2018-11-27,4000,43050,106500,485000,101000
2018-11-28,3750,43150,105000,505000,101000
2018-11-29,3765,43150,106000,508000,100000
2018-11-30,3780,41850,110500,512000,107000
2018-12-03,3885,43250,115000,494500,108500
2018-12-04,3900,42150,113500,492500,107500
2018-12-05,3835,41450,112000,498000,107500
2018-12-06,3700,40500,109000,486500,110500
2018-12-07,3750,40950,108500,488500,111000
2018-12-10,3645,40200,106500,497500,110500
2018-12-11,3540,40250,105500,497500,111500
2018-12-12,3530,40450,109000,503000,118500
2018-12-13,3615,40000,109500,509000,118500
2018-12-14,3560,38950,110500,500000,116500
2018-12-17,3455,39150,107000,480000,116500
2018-12-18,3480,38900,106000,477000,118000
2018-12-19,3545,39100,105000,482500,123000
2018-12-20,3480,38650,104500,467500,121500
2018-12-21,3510,38650,104000,480000,122500
2018-12-24,3585,38800,102000,476500,123000
2018-12-26,3495,38350,103500,473500,120000
2018-12-27,3615,38250,101000,484000,118500
2018-12-28,3695,38700,97700,466500,118500
2019-01-02,3750,38750,91300,467000,114000
2019-01-03,3670,37600,91000,454500,116500
2019-01-04,3635,37450,92600,464000,119500
2019-01-07,3765,38750,96300,472500,120500
2019-01-08,3770,38100,93500,469000,119500
2019-01-09,3795,39600,94800,474500,123000
2019-01-10,3750,39800,96900,472000,123000
2019-01-11,3730,40500,98000,489500,123000
2019-01-14,3750,40050,98200,482500,121500
2019-01-15,3765,41100,96700,475500,127500
2019-01-16,3870,41450,96500,465500,128500
2019-01-17,3810,41950,98000,480500,129500
2019-01-18,3845,42300,98200,498000,131000
2019-01-21,3855,42750,99600,498000,127000
2019-01-22,3865,42150,100000,496000,127500
2019-01-23,3930,42000,98700,484000,129000
2019-01-24,3900,43050,97800,473500,130000
2019-01-25,3925,44750,99400,467000,128500
2019-01-28,3950,45050,99000,463500,126500
2019-01-29,4030,45500,103000,465500,128000
2019-01-30,4035,46400,103500,467500,129500
2019-01-31,4005,46150,104500,468500,129500
2019-02-01,4235,46350,104500,474000,129500
2019-02-07,4445,46200,104500,462500,126000
2019-02-08,4415,44800,102000,463500,125500
2019-02-11,4410,45000,103500,452500,127500
2019-02-12,4265,46050,101500,433500,128500
2019-02-13,4285,46200,104000,433000,124500
2019-02-14,4285,47500,105000,448000,121500
2019-02-15,4330,46050,105500,445500,121000
2019-02-18,4430,46200,109000,447000,120500
2019-02-19,4515,45950,107500,446500,119500
2019-02-20,4470,46900,104500,441500,119000
2019-02-21,4400,46950,102000,444000,120000
2019-02-22,4370,47150,102000,430500,121000
2019-02-25,4350,47350,100500,432500,121000
2019-02-26,4380,46750,99700,443000,122500
2019-02-27,4410,46750,102000,449500,129000
2019-02-28,4000,45100,100000,461000,126500
2019-03-04,3900,44850,100500,448000,122000
2019-03-05,3900,44250,102000,445000,121500
2019-03-06,3845,44000,105000,449500,124500
2019-03-07,3755,44450,102000,440000,125500
2019-03-08,3725,43800,96300,430500,120000
2019-03-11,3755,43650,92400,435000,121000
2019-03-12,3820,44650,92800,441000,125500
2019-03-13,3765,43850,92300,438500,122500
2019-03-14,3785,43850,94900,437500,119000
2019-03-15,3735,44200,96400,444500,121000
2019-03-18,3765,43700,96500,448000,124000
2019-03-19,3755,43900,97000,449000,124000
2019-03-20,3705,44050,96600,454500,124000
2019-03-21,3665,45850,97200,463000,124500
2019-03-22,3650,46550,96100,478000,123500
2019-03-25,3615,45500,93700,478500,120000
2019-03-26,3605,45250,92300,481000,118500
2019-03-27,3570,45350,91500,478500,118500
2019-03-28,3540,44850,90500,498000,119500
2019-03-29,3640,44650,89600,496000,119500
2019-04-01,3700,45050,90500,490500,120500
2019-04-02,3715,45750,90300,491500,119000
2019-04-03,3745,46600,92800,498500,124000
2019-04-04,3720,46950,92000,498500,123500
2019-04-05,3765,46850,92800,503000,126000
2019-04-08,3745,46650,95400,498500,128000
2019-04-09,3760,46650,93500,496000,127000
2019-04-10,3835,46700,92700,497500,127500
2019-04-11,3880,46250,92000,505000,128000
2019-04-12,3825,46850,92100,506000,126500
2019-04-15,3800,47050,96600,495000,125500
2019-04-16,3745,47250,94900,509000,128500
2019-04-17,3685,47050,95100,500000,131000
2019-04-18,3675,45600,94600,498500,134000
2019-04-19,3730,45300,93900,491000,134000
2019-04-22,4140,45350,93600,486000,134000
2019-04-23,4200,45200,94700,499000,136000
2019-04-24,4000,44750,96000,505000,138500
2019-04-25,3920,44650,93700,510000,138000
2019-04-26,3910,44850,92300,504000,135500
2019-04-29,3975,46150,92000,511000,139000
2019-04-30,4020,45850,92200,526000,138500
2019-05-02,3945,45900,91800,522000,138500
2019-05-03,3935,45300,90900,519000,137500
2019-05-07,3820,44850,89600,501000,136000
2019-05-08,3805,44250,89000,502000,135500
2019-05-09,3690,42450,87200,490000,131000
2019-05-10,3675,42900,85900,502000,130000
2019-05-13,3600,42650,82700,511000,129000
2019-05-14,3625,42650,82300,500000,128000
2019-05-15,3620,42550,85100,498500,128000
2019-05-16,3570,41550,83800,500000,127500
2019-05-17,3585,41200,84500,493500,125500
2019-05-20,3540,42000,83100,484500,129000
2019-05-21,3555,43150,84100,485000,127000
2019-05-22,3525,43500,83100,487000,127000
2019-05-23,3430,43850,82100,491000,127500
2019-05-24,3395,42700,81000,475000,130500
2019-05-27,3375,42650,81200,480000,135000
2019-05-28,3370,42550,81300,474500,136500
2019-05-29,3310,41800,81300,480000,134000
2019-05-30,3255,42550,82300,476500,135500
2019-05-31,3260,42500,83500,477000,134500
2019-06-03,3190,43800,82000,465000,138500
2019-06-04,3250,43450,82300,457000,139000
2019-06-05,3285,43900,81700,459500,141000
2019-06-07,3365,44200,81700,459500,140000
2019-06-10,3450,44800,85000,474000,143000
2019-06-11,3530,44850,84600,469500,143500
2019-06-12,3530,44600,83200,470000,141000
2019-06-13,3535,43750,83100,470500,141000
2019-06-14,3545,44000,83200,469500,140500
2019-06-17,3520,43900,81700,468500,140000
2019-06-18,3535,44350,80300,457000,141000
2019-06-19,3570,45350,81200,466500,140000
2019-06-20,3615,45500,82500,484500,140500
2019-06-21,3760,45700,83000,485000,140500
2019-06-24,3780,45500,83200,481500,142500
2019-06-25,3660,45600,84100,474500,141500
2019-06-26,3660,45700,83500,475500,141500
2019-06-27,3690,46500,84000,481000,140500
2019-06-28,3705,47000,83700,477000,140000
2019-07-01,3845,46600,84300,468000,141000
2019-07-02,3745,46250,86500,459000,137000
2019-07-03,3685,45400,85500,468500,136000
2019-07-04,3640,46000,89200,468500,139000
2019-07-05,3820,45650,90000,480000,141500
2019-07-08,3685,44400,88200,478000,138500
2019-07-09,3635,45100,87200,484500,137500
2019-07-10,3645,45550,89500,486500,137000
2019-07-11,3670,46200,91300,490500,139000
2019-07-12,3630,46300,93300,497500,139500
2019-07-15,3560,46450,92400,497000,138000
2019-07-16,3530,46850,90600,500000,133000
2019-07-17,3445,46050,91200,493000,133500
2019-07-18,3480,46100,90300,495500,134000
2019-07-19,3540,46800,90500,502000,134500
2019-07-22,3560,47200,92200,500000,133000
2019-07-23,3520,47300,94800,498500,132000
2019-07-24,3480,46400,94500,493000,132500
2019-07-25,3490,47200,93000,490000,131500
2019-07-26,3440,47150,93000,492000,130500
2019-07-29,3310,46100,91700,485000,128000
2019-07-30,3300,46550,93200,481500,128000
2019-07-31,3305,45350,94100,481500,126500
2019-08-01,3205,45200,93500,502000,125500
2019-08-02,3110,44950,91200,520000,127500
2019-08-05,2880,43950,89200,522000,127500
2019-08-06,2885,43500,88400,508000,126000
2019-08-07,2905,43200,88700,511000,127000
2019-08-08,3080,42650,89900,520000,130000
2019-08-09,3150,43150,88600,528000,132500
2019-08-12,3220,43700,88700,524000,131000
2019-08-13,3220,43000,85100,522000,129000
2019-08-14,3255,43700,88500,523000,127500
2019-08-16,3235,43900,88300,518000,128000
2019-08-19,3300,43600,88900,528000,128000
2019-08-20,3355,44450,91700,539000,126500
2019-08-21,3390,44500,92300,536000,125500
2019-08-22,3385,44050,92700,539000,124000
2019-08-23,3315,43950,92700,531000,126000
2019-08-26,3260,43600,91200,531000,124500
2019-08-27,3255,44050,89900,531000,125000
2019-08-28,3290,44150,90300,539000,127500
2019-08-29,3300,43400,90900,534000,126500
2019-08-30,3395,44000,96700,537000,128500
2019-09-02,3465,43800,97100,550000,131000
